iter	Passed	Remaining
1162	90861	65392
1163	90940	65314
1164	91018	65236
1165	91092	65155
1166	91167	65075
1167	91240	64993
1168	91319	64915
1169	91399	64839
1170	91479	64762
1171	91553	64681
1172	91628	64601
1173	91705	64522
1174	91785	64444
1175	91861	64365
1176	91942	64289
1177	92024	64213
1178	92106	64138
1179	92190	64064
1180	92270	63987
1181	92344	63907
1182	92431	63834
1183	92521	63764
1184	92608	63692
1185	92681	63611
1186	92758	63531
1187	92830	63449
1188	92904	63368
1189	92981	63290
1190	93055	63209
1191	93130	63128
1192	93203	63046
1193	93275	62964
1194	93354	62887
1195	93434	62810
1196	93513	62733
1197	93595	62657
1198	93674	62580
1199	93786	62524
1200	93868	62448
1201	93947	62370
1202	94019	62289
1203	94095	62209
1204	94181	62136
1205	94266	62063
1206	94343	61983
1207	94419	61904
1208	94497	61825
1209	94573	61746
1210	94650	61667
1211	94724	61586
1212	94808	61512
1213	94884	61432
1214	94964	61355
1215	95040	61276
1216	95121	61199
1217	95197	61119
1218	95273	61040
1219	95366	60971
1220	95499	60929
1221	95600	60864
1222	95681	60788
1223	95772	60718
1224	95854	60642
1225	95936	60566
1226	96016	60489
1227	96093	60410
1228	96179	60337
1229	96261	60261
1230	96351	60190
1231	96440	60118
1232	96524	60044
1233	96622	59977
1234	96717	59910
1235	96805	59837
1236	96890	59763
1237	96975	59689
1238	97064	59617
1239	97143	59539
1240	97224	59462
1241	97309	59388
1242	97388	59310
1243	97473	59236
1244	97552	59158
1245	97633	59081
1246	97713	59004
1247	97795	58928
1248	97878	58852
1249	97961	58776
1250	98039	58698
1251	98119	58620
1252	98197	58542
1253	98274	58463
1254	98353	58385
1255	98432	58307
1256	98511	58229
1257	98593	58153
1258	98687	58083
1259	98775	58011
1260	98867	57940
1261	98972	57877
1262	99049	57798
1263	99128	57720
1264	99211	57644
1265	99290	57566
1266	99372	57490
1267	99453	57413
1268	99533	57335
1269	99608	57255
1270	99684	57175
1271	99767	57099
1272	99841	57018
1273	99918	56939
1274	99996	56860
1275	100073	56781
1276	100147	56700
1277	100220	56619
1278	100293	56537
1279	100363	56454
1280	100437	56373
1281	100513	56293
1282	100588	56213
1283	100667	56135
1284	100741	56054
1285	100814	55973
1286	100893	55895
1287	100978	55820
1288	101056	55741
1289	101135	55663
1290	101210	55583
1291	101286	55503
1292	101361	55423
1293	101439	55344
1294	101522	55268
1295	101603	55192
1296	101678	55111
1297	101757	55033
1298	101828	54951
1299	101903	54871
1300	101976	54789
1301	102050	54708
1302	102124	54628
1303	102201	54549
1304	102276	54469
1305	102349	54388
1306	102422	54306
1307	102496	54226
1308	102572	54146
